Freq.	V(vout)
2.00000000000000e+001	1.19051621385734e+000,9.57204877333425e-001
2.09425709610180e+001	1.21167100504681e+000,1.00672577822115e+000
2.19295639228637e+001	1.23548076378938e+000,1.05919196945615e+000
2.29630724299377e+001	1.26234345488774e+000,1.11481630792332e+000
2.40452886923483e+001	1.29273000718968e+000,1.17382579639161e+000
2.51785082358834e+001	1.32720029639313e+000,1.23645987690543e+000
2.63651347711282e+001	1.36642310018942e+000,1.30296692795673e+000
2.76076852920577e+001	1.41120107097959e+000,1.37359797137833e+000
2.89087954149186e+001	1.46250202058582e+000,1.44859608245315e+000
3.02712249687242e+001	1.52149808964168e+000,1.52817922053509e+000
3.16978638492223e+001	1.58961462508887e+000,1.61251301784796e+000
3.31917381487512e+001	1.66859072391526e+000,1.70166827414505e+000
3.47560165749875e+001	1.76055318256840e+000,1.79555520282884e+000
3.63940171721997e+001	1.86810457275715e+000,1.89382243581713e+000
3.81092143592650e+001	1.99442342566908e+000,1.99570288108953e+000
3.99052462993776e+001	2.14336830745742e+000,2.09978019544360e+000
4.17859226170808e+001	2.31956466313568e+000,2.20363874016766e+000
4.37552324789911e+001	2.52842798734491e+000,2.30334786485764e+000
4.58173530553555e+001	2.77602993127948e+000,2.39272411257116e+000
4.79766583803899e+001	3.06863298964163e+000,2.46232925806544e+000
5.02377286301917e+001	3.41159552054887e+000,2.49823773549724e+000
5.26053598379077e+001	3.80720223605749e+000,2.48082275725028e+000
5.50845740667634e+001	4.25092332859640e+000,2.38428264894173e+000
5.76806300625322e+001	4.72598314208153e+000,2.17841363957996e+000
6.03990344080404e+001	5.19752725187573e+000,1.83487471081753e+000
6.32455532033677e+001	5.61044381334796e+000,1.33950342937896e+000
6.62262242965183e+001	5.89729125407757e+000,7.07938158404431e-001
6.93473700905065e+001	5.99963387103344e+000,-5.58205883862684e-003
7.26156109540204e+001	5.89419193261710e+000,-7.18433563313738e-001
7.60378792641124e+001	5.60492763316142e+000,-1.34823918202164e+000
7.96214341106996e+001	5.19061871977465e+000,-1.84132663403580e+000
8.33738766940672e+001	4.71864886034746e+000,-2.18261023572995e+000
8.73031664480334e+001	4.24384867231856e+000,-2.38658521066100e+000
9.14176379229752e+001	3.80076543128962e+000,-2.48169823353237e+000
9.57260184645279e+001	3.40594296104246e+000,-2.49811929982388e+000
1.00237446725455e+002	3.06377058989165e+000,-2.46156177877856e+000
1.04961492049955e+002	2.77189322625054e+000,-2.39155935391318e+000
1.09908174771525e+002	2.52492567458830e+000,-2.30195991091023e+000
1.15087987467432e+002	2.31660199756880e+000,-2.20214353302435e+000
1.20511917214872e+002	2.14085797684675e+000,-2.09825266960979e+000
1.26191468896039e+002	1.99228953037527e+000,-1.99419005000527e+000
1.32138689601520e+002	1.86628316876158e+000,-1.89235272505903e+000
1.38366194183788e+002	1.75899130614562e+000,-1.79414486058522e+000
1.44887192014998e+002	1.66724488604814e+000,-1.70032568000170e+000
1.51715515005837e+002	1.58844924574078e+000,-1.61124154215213e+000
1.58865646944857e+002	1.52048407169787e+000,-1.52697910606366e+000
1.66352754220535e+002	1.46161553001366e+000,-1.44746567503898e+000
1.74192717991217e+002	1.41042252719126e+000,-1.37253452002915e+000
1.82402167871183e+002	1.36573635640161e+000,-1.30196710090968e+000
1.90998517204288e+002	1.32659198009424e+000,-1.23552009100240e+000
2.00000000000001e+002	1.29218899294574e+000,-1.17294242364733e+000
2.09425709610181e+002	1.26186044283531e+000,-1.11398580170498e+000
2.19295639228638e+002	1.23504794332621e+000,-1.05841093816707e+000
2.29630724299377e+002	1.21128178541767e+000,-1.00599102491833e+000
2.40452886923484e+002	1.19016500786347e+000,-9.56513417477254e-001
2.51785082358834e+002	1.17136059863151e+000,-9.09780188558216e-001
2.63651347711282e+002	1.15458117505113e+000,-8.65607980646018e-001
2.76076852920578e+002	1.13958062964957e+000,-8.23827440377499e-001
2.89087954149187e+002	1.12614733924238e+000,-7.84282420161617e-001
3.02712249687243e+002	1.11409862103756e+000,-7.46829066200007e-001
3.16978638492224e+002	1.10327618714837e+000,-7.11334869985876e-001
3.31917381487514e+002	1.09354240151515e+000,-6.77677730189316e-001
3.47560165749877e+002	1.08477718423455e+000,-6.45745053891005e-001
3.63940171721998e+002	1.07687544028704e+000,-6.15432912705728e-001
3.81092143592651e+002	1.06974491491019e+000,-5.86645261613739e-001
3.99052462993778e+002	1.06330439727026e+000,-5.59293222795532e-001
4.17859226170810e+002	1.05748220985515e+000,-5.33294433775154e-001
4.37552324789913e+002	1.05221493298814e+000,-5.08572456896218e-001
4.58173530553557e+002	1.04744632374968e+000,-4.85056246241584e-001
4.79766583803901e+002	1.04312639615637e+000,-4.62679667529301e-001
5.02377286301919e+002	1.03921063567213e+000,-4.41381066426402e-001
5.26053598379079e+002	1.03565932605079e+000,-4.21102880594844e-001
5.50845740667636e+002	1.03243697039761e+000,-4.01791291242262e-001
5.76806300625324e+002	1.02951179164029e+000,-3.83395910077525e-001
6.03990344080407e+002	1.02685530008739e+000,-3.65869497951280e-001
6.32455532033679e+002	1.02444191789300e+000,-3.49167711659902e-001
6.62262242965186e+002	1.02224865197604e+000,-3.33248876089783e-001
6.93473700905067e+002	1.02025480830685e+000,-3.18073778673352e-001
7.26156109540207e+002	1.01844174163989e+000,-3.03605483850333e-001
7.60378792641127e+002	1.01679263572441e+000,-2.89809165304177e-001
7.96214341106999e+002	1.01529230978144e+000,-2.76651953967303e-001
8.33738766940676e+002	1.01392704771820e+000,-2.64102800165347e-001
8.73031664480337e+002	1.01268444704488e+000,-2.52132348219675e-001
9.14176379229756e+002	1.01155328495543e+000,-2.40712822322166e-001
9.57260184645283e+002	1.01052339936246e+000,-2.29817922334405e-001
1.00237446725455e+003	1.00958558302602e+000,-2.19422728518111e-001
1.04961492049955e+003	1.00873148915844e+000,-2.09503614292771e-001
1.09908174771526e+003	1.00795354712398e+000,-2.00038166087325e-001
1.15087987467432e+003	1.00724488702861e+000,-1.91005109654725e-001
1.20511917214872e+003	1.00659927216918e+000,-1.82384242169064e-001
1.26191468896040e+003	1.00601103843189e+000,-1.74156369485900e-001
1.32138689601520e+003	1.00547503986127e+000,-1.66303248137410e-001
1.38366194183788e+003	1.00498659970719e+000,-1.58807531543971e-001
1.44887192014999e+003	1.00454146635531e+000,-1.51652720073798e-001
1.51715515005838e+003	1.00413577360570e+000,-1.44823114603241e-001
1.58865646944857e+003	1.00376600484373e+000,-1.38303773237567e-001
1.66352754220535e+003	1.00342896068560e+000,-1.32080470920300e-001
1.74192717991217e+003	1.00312172974566e+000,-1.26139661694651e-001
1.82402167871183e+003	1.00284166219546e+000,-1.20468443377831e-001
1.90998517204289e+003	1.00258634583872e+000,-1.15054524433617e-001
2.00000000000002e+003	1.00235358444493e+000,-1.09886192907652e-001
2.09425709610182e+003	1.00214137811636e+000,-1.04952287218111e-001
2.19295639228639e+003	1.00194790549091e+000,-1.00242168688055e-001
2.29630724299378e+003	1.00177150759794e+000,-9.57456956684837e-002
2.40452886923484e+003	1.00161067320801e+000,-9.14531991338663e-002
2.51785082358835e+003	1.00146402553329e+000,-8.73554596801114e-002
2.63651347711284e+003	1.00133031014815e+000,-8.34436857708170e-002
2.76076852920579e+003	1.00120838401475e+000,-7.97094931899665e-002
2.89087954149188e+003	1.00109720550927e+000,-7.61448855919298e-002
3.02712249687244e+003	1.00099582535454e+000,-7.27422361055687e-002
3.16978638492225e+003	1.00090337837463e+000,-6.94942698878549e-002
3.31917381487515e+003	1.00081907599493e+000,-6.63940476038078e-002
3.47560165749878e+003	1.00074219941853e+000,-6.34349497481708e-002
3.63940171722000e+003	1.00067209341704e+000,-6.06106617747173e-002
3.81092143592653e+003	1.00060816067884e+000,-5.79151599777106e-002
3.99052462993779e+003	1.00054985666422e+000,-5.53426980836775e-002
4.17859226170812e+003	1.00049668492102e+000,-5.28877945134809e-002
4.37552324789914e+003	1.00044819281879e+000,-5.05452202737615e-002
4.58173530553559e+003	1.00040396766381e+000,-4.83099874541040e-002
4.79766583803902e+003	1.00036363316004e+000,-4.61773382808133e-002
5.02377286301921e+003	1.00032684618530e+000,-4.41427347052468e-002
5.26053598379081e+003	1.00029329385384e+000,-4.22018485105582e-002
5.50845740667638e+003	1.00026269083984e+000,-4.03505518825114e-002
5.76806300625326e+003	1.00023477693837e+000,-3.85849084523215e-002
6.03990344080409e+003	1.00020931484221e+000,-3.69011647594562e-002
6.32455532033682e+003	1.00018608811574e+000,-3.52957421348492e-002
6.62262242965188e+003	1.00016489934772e+000,-3.37652289697417e-002
6.93473700905070e+003	1.00014556846740e+000,-3.23063733612798e-002
7.26156109540210e+003	1.00012793120912e+000,-3.09160761080420e-002
7.60378792641130e+003	1.00011183771221e+000,-2.95913840459434e-002
7.96214341107002e+003	1.00009715124419e+000,-2.83294837042831e-002
8.33738766940679e+003	1.00008374703609e+000,-2.71276952687458e-002
8.73031664480340e+003	1.00007151122006e+000,-2.59834668386247e-002
9.14176379229759e+003	1.00006033986011e+000,-2.48943689578027e-002
9.57260184645286e+003	1.00005013806750e+000,-2.38580894194911e-002
1.00237446725455e+004	1.00004081919338e+000,-2.28724283192605e-002
1.04961492049956e+004	1.00003230409168e+000,-2.19352933549999e-002
1.09908174771526e+004	1.00002452044594e+000,-2.10446953591372e-002
1.15087987467433e+004	1.00001740215436e+000,-2.01987440527773e-002
1.20511917214873e+004	1.00001088876774e+000,-1.93956440116381e-002
1.26191468896040e+004	1.00000492497564e+000,-1.86336908399198e-002
1.32138689601521e+004	9.99999460136161e-001,-1.79112675366468e-002
1.38366194183789e+004	9.99994447845574e-001,-1.72268410499328e-002
1.44887192015000e+004	9.99989845543966e-001,-1.65789590130316e-002
1.51715515005838e+004	9.99985614153594e-001,-1.59662466513737e-002
1.58865646944858e+004	9.99981717746850e-001,-1.53874038562662e-002
1.66352754220536e+004	9.99978123241030e-001,-1.48412024187792e-002
1.74192717991218e+004	9.99974800117296e-001,-1.43264834171077e-002
1.82402167871184e+004	9.99971720161426e-001,-1.38421547500229e-002
1.90998517204289e+004	9.99968857224165e-001,-1.33871888159547e-002
2.00000000000000e+004	9.99966186999123e-001,-1.29606203275898e-002
