Freq.,V(vout)
20,"1.19054489600239e+000,9.57198688964127e-001"
20.94257096,"1.21170282746607e+000,1.00671847024933e+000"
21.92956392,"1.23551610487630e+000,1.05918331669818e+000"
22.96307243,"1.26238274433126e+000,1.11480603360906e+000"
24.04528869,"1.29277373304649e+000,1.17381355872203e+000"
25.17850824,"1.32724901328038e+000,1.23644525149575e+000"
26.36513477,"1.36647743821959e+000,1.30294938508814e+000"
27.60768529,"1.41126174446254e+000,1.37357684600283e+000"
28.90879541,"1.46256983681815e+000,1.44857053479063e+000"
30.27122497,"1.52157395509130e+000,1.52814818395927e+000"
31.69786385,"1.58969954754866e+000,1.61247512973569e+000"
33.19173815,"1.66868580502342e+000,1.70162178406463e+000"
34.75601657,"1.76065959369589e+000,1.79549785080962e+000"
36.39401717,"1.86822350053990e+000,1.89375129178006e+000"
38.10921436,"1.99455596531334e+000,1.99561413635820e+000"
39.9052463,"2.14351526775863e+000,2.09966889803036e+000"
41.78592262,"2.31972622479952e+000,2.20349847507896e+000"
43.75523248,"2.52860312534904e+000,2.30317040362570e+000"
45.81735306,"2.77621547147282e+000,2.39249911092338e+000"
47.97665838,"3.06882213774952e+000,2.46204419468995e+000"
50.23772863,"3.41177572477318e+000,2.49787849423592e+000"
52.60535984,"3.80735244853713e+000,2.48037558024953e+000"
55.08457407,"4.25101135266596e+000,2.38373852185032e+000"
57.68063006,"4.72596504280227e+000,2.17777604252478e+000"
60.39903441,"5.19735250451777e+000,1.83417001019552e+000"
63.2455532,"5.61006997861841e+000,1.33878896041278e+000"
66.2262243,"5.89670662653225e+000,7.07298230430752e-001"
69.34737009,"5.99887539610791e+000,-6.05947039002785e-003"
72.61561095,"5.89334064912691e+000,-7.18690882327792e-001"
76.03787926,"5.60407922638842e+000,-1.34827042664983e+000"
79.62143411,"5.18984971074678e+000,-1.84117092006636e+000"
83.37387669,"4.71800011028245e+000,-2.18232731086755e+000"
87.30316645,"4.24332876429253e+000,-2.38623257023573e+000"
91.41763792,"3.80036306399415e+000,-2.48131963899505e+000"
95.72601846,"3.40563856063818e+000,-2.49774313097441e+000"
100.2374467,"3.06354359235411e+000,-2.46120405958936e+000"
104.961492,"2.77172547716327e+000,-2.39122770963149e+000"
109.9081748,"2.52480245595507e+000,-2.30165684703388e+000"
115.0879875,"2.31651191542915e+000,-2.20186870373436e+000"
120.5119172,"2.14079243248125e+000,-2.09800429776078e+000"
126.1914689,"1.99224212202535e+000,-1.99396575712308e+000"
132.1386896,"1.86624916071014e+000,-1.89214998867101e+000"
138.3661942,"1.75896720253513e+000,-1.79396124961931e+000"
144.887192,"1.66722810497595e+000,-1.70015896324912e+000"
151.715515,"1.58843787662408e+000,-1.61108972701913e+000"
158.8656469,"1.52047669694002e+000,-1.52684044087073e+000"
166.3527542,"1.46161109477180e+000,-1.44733863377769e+000"
174.192718,"1.41042024443595e+000,-1.37241777943564e+000"
182.4021679,"1.36573563749334e+000,-1.30185951587919e+000"
190.9985172,"1.32659238410997e+000,-1.23542067081871e+000"
200,"1.29219018930962e+000,-1.17285031019856e+000"
209.4257096,"1.26186218378643e+000,-1.11390025034780e+000"
219.2956392,"1.23505004340404e+000,-1.05833130109386e+000"
229.6307243,"1.21128410628080e+000,-1.00591673695453e+000"
240.4528869,"1.19016744681903e+000,-9.56443983981444e-001"
251.7850824,"1.17136308004046e+000,-9.09715175199381e-001"
263.6513477,"1.15458364383085e+000,-8.65547004723339e-001"
276.0768529,"1.13958304634070e+000,-8.23770163584413e-001"
289.0879541,"1.12614967625268e+000,-7.84228542281198e-001"
302.7122497,"1.11410085976422e+000,-7.46778320011799e-001"
316.9786385,"1.10327831577524e+000,-7.11287016678398e-001"
331.9173815,"1.09354441334472e+000,-6.77632555751188e-001"
347.5601657,"1.08477907636552e+000,-6.45702365840407e-001"
363.9401717,"1.07687721264301e+000,-6.15392537358275e-001"
381.0921436,"1.06974656946022e+000,-5.86607041754178e-001"
399.052463,"1.06330593743678e+000,-5.59257015684125e-001"
417.8592262,"1.05748364007286e+000,-5.33260109430557e-001"
