Freq.,V(vout)
20,"-7.69298991232063e-001,2.33829244317167e+000"
20.94257096,"-7.90757915368886e-001,2.48833156857290e+000"
21.92956392,"-8.10606378945522e-001,2.64627035348167e+000"
22.96307243,"-8.28666500034160e-001,2.81233181699645e+000"
24.04528869,"-8.44764507841319e-001,2.98674504734663e+000"
25.17850824,"-8.58730547362939e-001,3.16974765429040e+000"
26.36513477,"-8.70398076309357e-001,3.36158821770368e+000"
27.60768529,"-8.79602871296811e-001,3.56252866905197e+000"
28.90879541,"-8.86181670532096e-001,3.77284655124095e+000"
30.27122497,"-8.89970487449318e-001,3.99283711328826e+000"
31.69786385,"-8.90802633075509e-001,4.22281520698743e+000"
33.19173815,"-8.88506486022379e-001,4.46311696325574e+000"
34.75601657,"-8.82903047269792e-001,4.71410123600435e+000"
36.39401717,"-8.73803312802920e-001,4.97615080893229e+000"
38.10921436,"-8.61005491969991e-001,5.24967336747795e+000"
39.9052463,"-8.44292093330296e-001,5.53510224198544e+000"
41.78592262,"-8.23426892282441e-001,5.83289693122424e+000"
43.75523248,"-7.98151789815165e-001,6.14354341551734e+000"
45.81735306,"-7.68183562919148e-001,6.46755426795789e+000"
47.97665838,"-7.33210503967712e-001,6.80546856997535e+000"
50.23772863,"-6.92888939767727e-001,7.15785163367764e+000"
52.60535984,"-6.46839617518708e-001,7.52529452932140e+000"
55.08457407,"-5.94643941716640e-001,7.90841341083433e+000"
57.68063006,"-5.35840044161887e-001,8.30784862672590e+000"
60.39903441,"-4.69918666844023e-001,8.72426359718520e+000"
63.2455532,"-3.96318838291336e-001,9.15834343196548e+000"
66.2262243,"-3.14423323987285e-001,9.61079325653918e+000"
69.34737009,"-2.23553832431207e-001,1.00823362067458e+001"
72.61561095,"-1.22965961229056e-001,1.05737110445334e+001"
76.03787926,"-1.18438711069757e-002,1.10856693398964e+001"
79.62143411,"1.10705320490524e-001,1.16189721557894e+001"
83.37387669,"2.45657428662525e-001,1.21743861642317e+001"
87.30316645,"3.94077367796854e-001,1.27526791138007e+001"
91.41763792,"5.57125583436573e-001,1.33546145589935e+001"
95.72601846,"7.36064724522294e-001,1.39809457539886e+001"
100.2374467,"9.32266520598205e-001,1.46324086035238e+001"
104.961492,"1.14721881169680e+000,1.53097135556309e+001"
109.9081748,"1.38253266282845e+000,1.60135363126392e+001"
115.0879875,"1.63994947221363e+000,1.67445072298942e+001"
120.5119172,"1.92134796017490e+000,1.75031992653967e+001"
126.1914689,"2.22875089592708e+000,1.82901143411218e+001"
132.1386896,"2.56433138869033e+000,1.91056679744288e+001"
138.3661942,"2.93041853270552e+000,1.99501720431654e+001"
144.887192,"3.32950215537130e+000,2.08238155540021e+001"
151.715515,"3.76423637307744e+000,2.17266433002151e+001"
158.8656469,"4.23744161052309e+000,2.26585323159234e+001"
166.3527542,"4.75210468735168e+000,2.36191660672630e+001"
174.192718,"5.31137652223333e+000,2.46080063640256e+001"
182.4021679,"5.91856694970556e+000,2.56242630334236e+001"
190.9985172,"6.57713609221537e+000,2.66668614706578e+001"
200,"7.29068168202502e+000,2.77344082722411e+001"
209.4257096,"8.06292168763684e+000,2.88251552684233e+001"
219.2956392,"8.89767157351889e+000,2.99369624021056e+001"
229.6307243,"9.79881551479775e+000,3.10672600536418e+001"
240.4528869,"1.07702709073856e+001,3.22130115830223e+001"
251.7850824,"1.18159455663481e+001,3.33706770496428e+001"
263.6513477,"1.29396870991332e+001,3.45361792734366e+001"
276.0768529,"1.41452240836970e+001,3.57048736078286e+001"
289.0879541,"1.54360988822154e+001,3.68715229998525e+001"
302.7122497,"1.68155921852886e+001,3.80302800982354e+001"
316.9786385,"1.82866397125945e+001,3.91746783220442e+001"
331.9173815,"1.98517418937245e+001,4.02976339002125e+001"
347.5601657,"2.15128678121146e+001,4.13914609131389e+001"
363.9401717,"2.32713552030491e+001,4.24479012897900e+001"
381.0921436,"2.51278088338649e+001,4.34581715128188e+001"
399.052463,"2.70820001324637e+001,4.44130274427553e+001"
417.8592262,"2.91327714316685e+001,4.53028481759065e+001"
437.5523248,"3.12779486182371e+001,4.61177391959172e+001"
458.1735306,"3.35142662668586e+001,4.68476542758144e+001"
479.7665838,"3.58373094511962e+001,4.74825346599064e+001"
502.3772863,"3.82414763098868e+001,4.80124630454011e+001"
526.0535984,"4.07199650689513e+001,4.84278288511086e+001"
550.8457407,"4.32647885636065e+001,4.87195002781627e+001"
576.8063006,"4.58668183648019e+001,4.88789978195491e+001"
603.9903441,"4.85158594277655e+001,4.88986632452215e+001"
632.455532,"5.12007547989597e+001,4.87718177580064e+001"
662.262243,"5.39095184278276e+001,4.84929030430321e+001"
693.4737009,"5.66294926347414e+001,4.80575993554612e+001"
726.1561095,"5.93475254027039e+001,4.74629156100982e+001"
