Freq.,V(n002)
20,"9.97664790587416e-001,-4.82675482035612e-002"
20.94257096,"9.97440070539568e-001,-5.05309432089832e-002"
21.92956392,"9.97193786234286e-001,-5.28993282567484e-002"
22.96307243,"9.96923880615947e-001,-5.53774039982704e-002"
24.04528869,"9.96628102873053e-001,-5.79700563800990e-002"
25.17850824,"9.96303990686281e-001,-6.06823601129039e-002"
26.36513477,"9.95948850950959e-001,-6.35195815510717e-002"
27.60768529,"9.95559738863598e-001,-6.64871808504625e-002"
28.90879541,"9.95133435258563e-001,-6.95908132518534e-002"
30.27122497,"9.94666422078468e-001,-7.28363293150272e-002"
31.69786385,"9.94154855860674e-001,-7.62297739030893e-002"
33.19173815,"9.93594539122824e-001,-7.97773836881553e-002"
34.75601657,"9.92980889533130e-001,-8.34855829177917e-002"
36.39401717,"9.92308906756777e-001,-8.73609771462491e-002"
38.10921436,"9.91573136878891e-001,-9.14103445953877e-002"
39.9052463,"9.90767634318085e-001,-9.56406247670441e-002"
41.78592262,"9.89885921163359e-001,-1.00058903881301e-001"
43.75523248,"9.88920943892457e-001,-1.04672396663633e-001"
45.81735306,"9.87865027462848e-001,-1.09488423948262e-001"
47.97665838,"9.86709826808846e-001,-1.14514385505505e-001"
50.23772863,"9.85446275831773e-001,-1.19757727437781e-001"
52.60535984,"9.84064534036395e-001,-1.25225903423086e-001"
55.08457407,"9.82553931048273e-001,-1.30926329016966e-001"
57.68063006,"9.80902909345620e-001,-1.36866328156046e-001"
60.39903441,"9.79098965658159e-001,-1.43053070939711e-001"
63.2455532,"9.77128591627164e-001,-1.49493501704518e-001"
66.2262243,"9.74977214488009e-001,-1.56194256351544e-001"
69.34737009,"9.72629138731889e-001,-1.63161567844737e-001"
72.61561095,"9.70067489929446e-001,-1.70401158773730e-001"
76.03787926,"9.67274162157904e-001,-1.77918119874364e-001"
79.62143411,"9.64229770766418e-001,-1.85716773432447e-001"
83.37387669,"9.60913612542019e-001,-1.93800520570676e-001"
87.30316645,"9.57303635699603e-001,-2.02171671546547e-001"
91.41763792,"9.53376422510597e-001,-2.10831258383317e-001"
95.72601846,"9.49107187800295e-001,-2.19778829431112e-001"
100.2374467,"9.44469796973715e-001,-2.29012225826797e-001"
104.961492,"9.39436807660392e-001,-2.38527340305558e-001"
