Freq.	V(n002)
2.00000000000000e+001	9.97664790587416e-001,-4.82675482035612e-002
2.09425709610180e+001	9.97440070539568e-001,-5.05309432089832e-002
2.19295639228637e+001	9.97193786234286e-001,-5.28993282567484e-002
2.29630724299377e+001	9.96923880615947e-001,-5.53774039982704e-002
2.40452886923483e+001	9.96628102873053e-001,-5.79700563800990e-002
2.51785082358834e+001	9.96303990686281e-001,-6.06823601129039e-002
2.63651347711282e+001	9.95948850950959e-001,-6.35195815510717e-002
2.76076852920577e+001	9.95559738863598e-001,-6.64871808504625e-002
2.89087954149186e+001	9.95133435258563e-001,-6.95908132518534e-002
3.02712249687242e+001	9.94666422078468e-001,-7.28363293150272e-002
3.16978638492223e+001	9.94154855860674e-001,-7.62297739030893e-002
3.31917381487512e+001	9.93594539122824e-001,-7.97773836881553e-002
3.47560165749875e+001	9.92980889533130e-001,-8.34855829177917e-002
3.63940171721997e+001	9.92308906756777e-001,-8.73609771462491e-002
3.81092143592650e+001	9.91573136878891e-001,-9.14103445953877e-002
3.99052462993776e+001	9.90767634318085e-001,-9.56406247670441e-002
4.17859226170808e+001	9.89885921163359e-001,-1.00058903881301e-001
4.37552324789911e+001	9.88920943892457e-001,-1.04672396663633e-001
4.58173530553555e+001	9.87865027462848e-001,-1.09488423948262e-001
4.79766583803899e+001	9.86709826808846e-001,-1.14514385505505e-001
5.02377286301917e+001	9.85446275831773e-001,-1.19757727437781e-001
5.26053598379077e+001	9.84064534036395e-001,-1.25225903423086e-001
5.50845740667634e+001	9.82553931048273e-001,-1.30926329016966e-001
5.76806300625322e+001	9.80902909345620e-001,-1.36866328156046e-001
6.03990344080404e+001	9.79098965658159e-001,-1.43053070939711e-001
6.32455532033677e+001	9.77128591627164e-001,-1.49493501704518e-001
6.62262242965183e+001	9.74977214488009e-001,-1.56194256351544e-001
6.93473700905065e+001	9.72629138731889e-001,-1.63161567844737e-001
7.26156109540204e+001	9.70067489929446e-001,-1.70401158773730e-001
7.60378792641124e+001	9.67274162157904e-001,-1.77918119874364e-001
7.96214341106996e+001	9.64229770766418e-001,-1.85716773432447e-001
8.33738766940672e+001	9.60913612542019e-001,-1.93800520570676e-001
8.73031664480334e+001	9.57303635699603e-001,-2.02171671546547e-001
9.14176379229752e+001	9.53376422510597e-001,-2.10831258383317e-001
9.57260184645279e+001	9.49107187800295e-001,-2.19778829431112e-001
1.00237446725455e+002	9.44469796973715e-001,-2.29012225826797e-001
1.04961492049955e+002	9.39436807660392e-001,-2.38527340305558e-001
1.09908174771525e+002	9.33979539480447e-001,-2.48317859430890e-001
1.15087987467432e+002	9.28068176802097e-001,-2.58374991067883e-001
1.20511917214872e+002	9.21671909652009e-001,-2.68687179840103e-001
1.26191468896039e+002	9.14759118114399e-001,-2.79239814390723e-001
1.32138689601520e+002	9.07297605564575e-001,-2.90014931514507e-001
1.38366194183788e+002	8.99254885872395e-001,-3.00990923628970e-001
1.44887192014998e+002	8.90598529219491e-001,-3.12142257587098e-001
1.51715515005837e+002	8.81296570336022e-001,-3.23439214459204e-001
1.58865646944857e+002	8.71317981713680e-001,-3.34847661565792e-001
1.66352754220535e+002	8.60633212632862e-001,-3.46328869639973e-001
1.74192717991217e+002	8.49214792608241e-001,-3.57839389424338e-001
1.82402167871183e+002	8.37037995085794e-001,-3.69331003123956e-001
1.90998517204288e+002	8.24081553926332e-001,-3.80750766781492e-001
2.00000000000001e+002	8.10328421441109e-001,-3.92041159632339e-001
2.09425709610181e+002	7.95766552614751e-001,-4.03140355650964e-001
2.19295639228638e+002	7.80389695834214e-001,-4.13982630638046e-001
2.29630724299377e+002	7.64198166182924e-001,-4.24498915175976e-001
2.40452886923484e+002	7.47199573465630e-001,-4.34617499507798e-001
2.51785082358834e+002	7.29409473966171e-001,-4.44264890864184e-001
2.63651347711282e+002	7.10851912904671e-001,-4.53366817074696e-001
2.76076852920578e+002	6.91559824050855e-001,-4.61849362681822e-001
2.89087954149187e+002	6.71575254321978e-001,-4.69640215595245e-001
3.02712249687243e+002	6.50949384711551e-001,-4.76669994078927e-001
3.16978638492224e+002	6.29742324680128e-001,-4.82873616163273e-001
3.31917381487514e+002	6.08022665126381e-001,-4.88191667092950e-001
3.47560165749877e+002	5.85866784963088e-001,-4.92571715834459e-001
3.63940171721998e+002	5.63357917641652e-001,-4.95969529580309e-001
3.81092143592651e+002	5.40584995991143e-001,-4.98350136049343e-001
3.99052462993778e+002	5.17641305603723e-001,-4.99688687421074e-001
4.17859226170810e+002	4.94622987776992e-001,-4.99971086903586e-001
4.37552324789913e+002	4.71627441812447e-001,-4.99194348868148e-001
4.58173530553557e+002	4.48751682496442e-001,-4.97366675555424e-001
4.79766583803901e+002	4.26090711310905e-001,-4.94507246706731e-001
5.02377286301919e+002	4.03735959085135e-001,-4.90645732098773e-001
5.26053598379079e+002	3.81773853484586e-001,-4.85821549830919e-001
5.50845740667636e+002	3.60284557332024e-001,-4.80082904382245e-001
5.76806300625324e+002	3.39340913931917e-001,-4.73485647157090e-001
6.03990344080407e+002	3.19007624165965e-001,-4.66092007966186e-001
6.32455532033679e+002	2.99340668075068e-001,-4.57969248434259e-001
6.62262242965186e+002	2.80386971849726e-001,-4.49188287766574e-001
6.93473700905067e+002	2.62184310414864e-001,-4.39822347985123e-001
7.26156109540207e+002	2.44761426735560e-001,-4.29945660191998e-001
7.60378792641127e+002	2.28138341990117e-001,-4.19632266280987e-001
7.96214341106999e+002	2.12326826035009e-001,-4.08954942482553e-001
8.33738766940676e+002	1.97330995095732e-001,-3.97984262842465e-001
8.73031664480337e+002	1.83148003164293e-001,-3.86787812762017e-001
9.14176379229756e+002	1.69768794854524e-001,-3.75429555506977e-001
9.57260184645283e+002	1.57178890079163e-001,-3.63969348424624e-001
1.00237446725455e+003	1.45359174465158e-001,-3.52462600659937e-001
1.04961492049955e+003	1.34286673530526e-001,-3.40960060480156e-001
1.09908174771526e+003	1.23935292966873e-001,-3.29507717852083e-001
1.15087987467432e+003	1.14276511627304e-001,-3.18146806549427e-001
1.20511917214872e+003	1.05280017798907e-001,-3.06913889635462e-001
1.26191468896040e+003	9.69142828984576e-002,-2.95841012485989e-001
1.32138689601520e+003	8.91470697858249e-002,-2.84955908404136e-001
1.38366194183788e+003	8.19458754087391e-002,-2.74282243158821e-001
1.44887192014999e+003	7.52783094813722e-002,-2.63839886300383e-001
1.51715515005838e+003	6.91124123919323e-002,-2.53645198742850e-001
1.58865646944857e+003	6.34169165837648e-002,-2.43711327752266e-001
1.66352754220535e+003	5.81614563225351e-002,-2.34048502069500e-001
1.74192717991217e+003	5.33167311143263e-002,-2.24664321372150e-001
1.82402167871183e+003	4.88546281396255e-002,-2.15564035611148e-001
1.90998517204289e+003	4.47483089749997e-002,-2.06750810926772e-001
2.00000000000002e+003	4.09722656397409e-002,-1.98225979851500e-001
2.09425709610182e+003	3.75023506732361e-002,-1.89989274347837e-001
2.19295639228639e+003	3.43157855567803e-002,-1.82039040918154e-001
2.29630724299378e+003	3.13911513701664e-002,-1.74372437574927e-001
2.40452886923484e+003	2.87083651410941e-002,-1.66985612889314e-001
2.51785082358835e+003	2.62486449208976e-002,-1.59873867660460e-001
2.63651347711284e+003	2.39944662150855e-002,-1.53031799983332e-001
2.76076852920579e+003	2.19295120194930e-002,-1.46453434654432e-001
2.89087954149188e+003	2.00386183671135e-002,-1.40132337956129e-001
3.02712249687244e+003	1.83077169791102e-002,-1.34061718913801e-001
3.16978638492225e+003	1.67237763365092e-002,-1.28234518135936e-001
3.31917381487515e+003	1.52747422457485e-002,-1.22643485334829e-001
3.47560165749878e+003	1.39494787598395e-002,-1.17281246591978e-001
3.63940171722000e+003	1.27377101350481e-002,-1.12140362383771e-001
3.81092143592653e+003	1.16299643481026e-002,-1.07213377324681e-001
3.99052462993779e+003	1.06175185682264e-002,-1.02492862520664e-001
4.17859226170812e+003	9.69234686903230e-003,-9.79714513580495e-002
4.37552324789914e+003	8.84707037487883e-003,-9.36418694850801e-002
4.58173530553559e+003	8.07490996218824e-003,-8.94969596762414e-002
4.79766583803902e+003	7.36964157620935e-003,-8.55297022048338e-002
5.02377286301921e+003	6.72555417570256e-003,-8.17332312877220e-002
5.26053598379081e+003	6.13741028020453e-003,-7.81008481084359e-002
5.50845740667638e+003	5.60040906526950e-003,-7.46260308710784e-002
5.76806300625326e+003	5.11015192896652e-003,-7.13024422879708e-002
6.03990344080409e+003	4.66261043670658e-003,-6.81239348586243e-002
6.32455532033682e+003	4.25409654012320e-003,-6.50845542563711e-002
6.62262242965188e+003	3.88123495833089e-003,-6.21785411016463e-002
6.93473700905070e+003	3.54093760566950e-003,-5.94003313672765e-002
7.26156109540210e+003	3.23037994836467e-003,-5.67445556309491e-002
7.60378792641130e+003	2.94697917285107e-003,-5.42060373630636e-002
7.96214341107002e+003	2.68837405036610e-003,-5.17797904141318e-002
8.33738766940679e+003	2.45240638545382e-003,-4.94610158445458e-002
8.73031664480340e+003	2.23710393991458e-003,-4.72450982206260e-002
9.14176379229759e+003	2.04066472824542e-003,-4.51276014841507e-002
9.57260184645286e+003	1.86144258553701e-003,-4.31042644878410e-002
1.00237446725455e+004	1.69793391396105e-003,-4.11709962763214e-002
1.04961492049956e+004	1.54876551927021e-003,-3.93238711807030e-002
1.09908174771526e+004	1.41268345403676e-003,-3.75591237849801e-002
1.15087987467433e+004	1.28854278960029e-003,-3.58731438137175e-002
1.20511917214873e+004	1.17529824381684e-003,-3.42624709829125e-002
1.26191468896040e+004	1.07199559665997e-003,-3.27237898492933e-002
1.32138689601521e+004	9.77763830484169e-004,-3.12539246875647e-002
1.38366194183789e+004	8.91807936303900e-004,-2.98498344201211e-002
1.44887192015000e+004	8.13402331751556e-004,-2.85086076194236e-002
1.51715515005838e+004	7.41884840449374e-004,-2.72274575995058e-002
1.58865646944858e+004	6.76651186360986e-004,-2.60037176098531e-002
1.66352754220536e+004	6.17149960280036e-004,-2.48348361421323e-002
1.74192717991218e+004	5.62878018971025e-004,-2.37183723578745e-002
1.82402167871184e+004	5.13376280608223e-004,-2.26519916431808e-002
1.90998517204289e+004	4.68225883070884e-004,-2.16334612947930e-002
2.00000000000000e+004	4.27044674356822e-004,-2.06606463403962e-002
