Freq.,V(n003)
20,"4.59705434947054e-005,5.91844751340834e-003"
20.94257096,"5.04054775669185e-005,6.19734372748005e-003"
21.92956392,"5.52682413723043e-005,6.48937923030115e-003"
22.96307243,"6.06001021100729e-005,6.79517256347581e-003"
24.04528869,"6.64463065357996e-005,7.11537131677962e-003"
25.17850824,"7.28564645320659e-005,7.45065348193369e-003"
26.36513477,"7.98849696105351e-005,7.80172886792627e-003"
27.60768529,"8.75914598934253e-005,8.16934058044868e-003"
28.90879541,"9.60413234615892e-005,8.55426656808460e-003"
30.27122497,"1.05306252327770e-004,8.95732123795887e-003"
31.69786385,"1.15464849700043e-004,9.37935714361531e-003"
33.19173815,"1.26603295645231e-004,9.82126674794816e-003"
34.75601657,"1.38816076748673e-004,1.02839842640602e-002"
36.39401717,"1.52206785898999e-004,1.07684875769573e-002"
38.10921436,"1.66888998908647e-004,1.12758002490137e-002"
39.9052463,"1.82987235317200e-004,1.18069936121519e-002"
41.78592262,"2.00638011420174e-004,1.23631889496710e-002"
43.75523248,"2.19990994325839e-004,1.29455597706263e-002"
45.81735306,"2.41210266672691e-004,1.35553341796034e-002"
47.97665838,"2.64475712546455e-004,1.41937973446431e-002"
50.23772863,"2.89984536124534e-004,1.48622940659430e-002"
52.60535984,"3.17952925654684e-004,1.55622314477963e-002"
55.08457407,"3.48617876550954e-004,1.62950816760016e-002"
57.68063006,"3.82239188671564e-004,1.70623849027024e-002"
60.39903441,"4.19101654239069e-004,1.78657522402592e-002"
63.2455532,"4.59517454381797e-004,1.87068688653284e-002"
66.2262243,"5.03828783926795e-004,1.95874972337962e-002"
69.34737009,"5.52410725868319e-004,2.05094804065782e-002"
72.61561095,"6.05674398882646e-004,2.14747454855351e-002"
76.03787926,"6.64070403370482e-004,2.24853071578482e-002"
79.62143411,"7.28092593793371e-004,2.35432713461161e-002"
83.37387669,"7.98282207541442e-004,2.46508389601681e-002"
87.30316645,"8.75232383237528e-004,2.58103097450893e-002"
91.41763792,"9.59593104257878e-004,2.70240862181978e-002"
95.72601846,"1.05207660634249e-003,2.82946776856681e-002"
100.2374467,"1.15346329148762e-003,2.96247043270980e-002"
104.961492,"1.26460819386699e-003,3.10169013335417e-002"
109.9081748,"1.38644804732251e-003,3.24741230813028e-002"
115.0879875,"1.52000900800235e-003,3.39993473200486e-002"
120.5119172,"1.66641509000403e-003,3.55956793494884e-002"
126.1914689,"1.82689737639677e-003,3.72663561538830e-002"
132.1386896,"2.00280407273960e-003,3.90147504579205e-002"
138.3661942,"2.19561147516042e-003,4.08443746609025e-002"
144.887192,"2.40693593018755e-003,4.27588845986307e-002"
151.715515,"2.63854686878936e-003,4.47620830737215e-002"
158.8656469,"2.89238100242268e-003,4.68579230851776e-002"
166.3527542,"3.17055777424528e-003,4.90505106767456e-002"
174.192718,"3.47539616391509e-003,5.13441073107124e-002"
182.4021679,"3.80943294945756e-003,5.37431316591546e-002"
190.9985172,"4.17544253437908e-003,5.62521606880394e-002"
200,"4.57645845234506e-003,5.88759298907630e-002"
209.4257096,"5.01579666508869e-003,6.16193325064586e-002"
219.2956392,"5.49708077147641e-003,6.44874175344552e-002"
229.6307243,"6.02426924647154e-003,6.74853863293545e-002"
240.4528869,"6.60168482767450e-003,7.06185875310412e-002"
251.7850824,"7.23404616365407e-003,7.38925100502761e-002"
263.6513477,"7.92650183179453e-003,7.73127737930763e-002"
276.0768529,"8.68466682312413e-003,8.08851177656179e-002"
289.0879541,"9.51466157668167e-003,8.46153851556898e-002"
302.7122497,"1.04231536253867e-002,8.85095049366381e-002"
316.9786385,"1.14174018879006e-002,9.25734694851995e-002"
331.9173815,"1.25053036051999e-002,9.68133076456834e-002"
347.5601657,"1.36954438749318e-002,1.01235052609844e-001"
363.9401717,"1.49971476792465e-002,1.05844703914921e-001"
381.0921436,"1.64205342306488e-002,1.10648182792423e-001"
399.052463,"1.79765733731826e-002,1.15651280028396e-001"
417.8592262,"1.96771436704286e-002,1.20859595423610e-001"
437.5523248,"2.15350916846362e-002,1.26278467871531e-001"
458.1735306,"2.35642917999426e-002,1.31912895005749e-001"
479.7665838,"2.57797057640891e-002,1.37767441310488e-001"
502.3772863,"2.81974409144007e-002,1.43846133542425e-001"
526.0535984,"3.08348058123163e-002,1.50152342285091e-001"
550.8457407,"3.37103617341219e-002,1.56688648455800e-001"
576.8063006,"3.68439681521489e-002,1.63456693617803e-001"
603.9903441,"4.02568199900397e-002,1.70457013027576e-001"
632.455532,"4.39714740488233e-002,1.77688850480717e-001"
662.262243,"4.80118615807189e-002,1.85149954223530e-001"
693.4737009,"5.24032835409086e-002,1.92836353486484e-001"
726.1561095,"5.71723845838025e-002,2.00742115586937e-001"
760.3787926,"6.23471014039845e-002,2.08859084059589e-001"
796.2143411,"6.79565805731014e-002,2.17176598921627e-001"
833.7387669,"7.40310606190307e-002,2.25681200982191e-001"
873.0316645,"8.06017127668140e-002,2.34356323076536e-001"
914.1763792,"8.77004345542513e-002,2.43181972253172e-001"
957.2601846,"9.53595904993064e-002,2.52134408269087e-001"
1002.374467,"1.03611694190149e-001,2.61185825244751e-001"
1049.61492,"1.12489026657021e-001,2.70304044973659e-001"
1099.081748,"1.22023186737664e-001,2.79452232128842e-001"
1150.879875,"1.32244570434335e-001,2.88588643397124e-001"
1205.119172,"1.43181778044446e-001,2.97666424311144e-001"
1261.914689,"1.54860950179015e-001,3.06633469121562e-001"
1321.386896,"1.67305036690714e-001,3.15432360311336e-001"
1383.661942,"1.80533006009266e-001,3.24000405128757e-001"
1448.87192,"1.94559006372703e-001,3.32269786614874e-001"
1517.15515,"2.09391494836896e-001,3.40167845825249e-001"
1588.656469,"2.25032354563397e-001,3.47617510105056e-001"
1663.527542,"2.41476025474743e-001,3.54537879210744e-001"
1741.92718,"2.58708677603646e-001,3.60844976677565e-001"
1824.021679,"2.76707459963861e-001,3.66452668092397e-001"
1909.985172,"2.95439860114231e-001,3.71273740940636e-001"
2000,"3.14863210346676e-001,3.75221132684578e-001"
2094.257096,"3.34924375218121e-001,3.78209285076278e-001"
2192.956392,"3.55559651672609e-001,3.80155593931000e-001"
2296.307243,"3.76694907118060e-001,3.80981915329090e-001"
2404.528869,"3.98245972583661e-001,3.80616082190335e-001"
2517.850824,"4.20119297770289e-001,3.78993380101376e-001"
2636.513477,"4.42212862940017e-001,3.76057928828926e-001"
2760.768529,"4.64417329914628e-001,3.71763916618521e-001"
2890.879541,"4.86617401878042e-001,3.66076638424131e-001"
3027.122497,"5.08693350199728e-001,3.58973296607903e-001"
3169.786385,"5.30522657092329e-001,3.50443533040310e-001"
3319.173815,"5.51981716432952e-001,3.40489674260534e-001"
3475.601657,"5.72947532125800e-001,3.29126685514101e-001"
3639.401717,"5.93299354264970e-001,3.16381843997818e-001"
3810.921436,"6.12920198020203e-001,3.02294155392898e-001"
3990.52463,"6.31698198220342e-001,2.86913549713240e-001"
4178.592262,"6.49527763358687e-001,2.70299901780408e-001"
4375.523248,"6.66310505289883e-001,2.52521927671427e-001"
4581.735306,"6.81955934223146e-001,2.33656010995152e-001"
4797.665838,"6.96381921739912e-001,2.13785011878866e-001"
5023.772863,"7.09514946577688e-001,1.92997107411671e-001"
5260.535984,"7.21290148105606e-001,1.71384705535477e-001"
5508.457407,"7.31651220271893e-001,1.49043465675978e-001"
5768.063006,"7.40550184062083e-001,1.26071449498464e-001"
6039.903441,"7.47947079117232e-001,1.02568414771892e-001"
6324.55532,"7.53809615249779e-001,7.86352550704990e-002"
6622.62243,"7.58112822416471e-001,5.43735784670266e-002"
6934.737009,"7.60838733598115e-001,2.98854098841792e-002"
7261.561095,"7.61976129364856e-001,5.27299466102399e-003"
7603.787926,"7.61520366044685e-001,-1.93613246530346e-002"
7962.143411,"7.59473301713894e-001,-4.39151901320080e-002"
8337.387669,"7.55843326017146e-001,-6.82863029247839e-002"
8730.316645,"7.50645491404592e-001,-9.23725246914128e-002"
9141.763792,"7.43901735036784e-001,-1.16072039007239e-001"
9572.601846,"7.35641172651622e-001,-1.39283602587066e-001"
10023.74467,"7.25900438426342e-001,-1.61906911344917e-001"
10496.1492,"7.14724038642624e-001,-1.83843099847275e-001"
10990.81748,"7.02164682138959e-001,-2.04995384790673e-001"
11508.79875,"6.88283547485644e-001,-2.25269853982042e-001"
12051.19172,"6.73150445899103e-001,-2.44576392278564e-001"
12619.14689,"6.56843840419132e-001,-2.62829725532785e-001"
13213.86896,"6.39450685992961e-001,-2.79950553385500e-001"
13836.61942,"6.21066061873153e-001,-2.95866732442820e-001"
14488.7192,"6.01792576970848e-001,-3.10514463698597e-001"
15171.5515,"5.81739540112310e-001,-3.23839432730666e-001"
15886.56469,"5.61021899896019e-001,-3.35797848818562e-001"
16635.27542,"5.39758972210679e-001,-3.46357330126452e-001"
17419.2718,"5.18072986483255e-001,-3.55497586635891e-001"
18240.21679,"4.96087493363261e-001,-3.63210860461014e-001"
19099.85172,"4.73925685854957e-001,-3.69502094076576e-001"
20000,"4.51708692090198e-001,-3.74388810086772e-001"
