Freq.	V(n003)
2.00000000000000e+001	4.59705434947054e-005,5.91844751340834e-003
2.09425709610180e+001	5.04054775669185e-005,6.19734372748005e-003
2.19295639228637e+001	5.52682413723043e-005,6.48937923030115e-003
2.29630724299377e+001	6.06001021100729e-005,6.79517256347581e-003
2.40452886923483e+001	6.64463065357996e-005,7.11537131677962e-003
2.51785082358834e+001	7.28564645320659e-005,7.45065348193369e-003
2.63651347711282e+001	7.98849696105351e-005,7.80172886792627e-003
2.76076852920577e+001	8.75914598934253e-005,8.16934058044868e-003
2.89087954149186e+001	9.60413234615892e-005,8.55426656808460e-003
3.02712249687242e+001	1.05306252327770e-004,8.95732123795887e-003
3.16978638492223e+001	1.15464849700043e-004,9.37935714361531e-003
3.31917381487512e+001	1.26603295645231e-004,9.82126674794816e-003
3.47560165749875e+001	1.38816076748673e-004,1.02839842640602e-002
3.63940171721997e+001	1.52206785898999e-004,1.07684875769573e-002
3.81092143592650e+001	1.66888998908647e-004,1.12758002490137e-002
3.99052462993776e+001	1.82987235317200e-004,1.18069936121519e-002
4.17859226170808e+001	2.00638011420174e-004,1.23631889496710e-002
4.37552324789911e+001	2.19990994325839e-004,1.29455597706263e-002
4.58173530553555e+001	2.41210266672691e-004,1.35553341796034e-002
4.79766583803899e+001	2.64475712546455e-004,1.41937973446431e-002
5.02377286301917e+001	2.89984536124534e-004,1.48622940659430e-002
5.26053598379077e+001	3.17952925654684e-004,1.55622314477963e-002
5.50845740667634e+001	3.48617876550954e-004,1.62950816760016e-002
5.76806300625322e+001	3.82239188671564e-004,1.70623849027024e-002
6.03990344080404e+001	4.19101654239069e-004,1.78657522402592e-002
6.32455532033677e+001	4.59517454381797e-004,1.87068688653284e-002
6.62262242965183e+001	5.03828783926795e-004,1.95874972337962e-002
6.93473700905065e+001	5.52410725868319e-004,2.05094804065782e-002
7.26156109540204e+001	6.05674398882646e-004,2.14747454855351e-002
7.60378792641124e+001	6.64070403370482e-004,2.24853071578482e-002
7.96214341106996e+001	7.28092593793371e-004,2.35432713461161e-002
8.33738766940672e+001	7.98282207541442e-004,2.46508389601681e-002
8.73031664480334e+001	8.75232383237528e-004,2.58103097450893e-002
9.14176379229752e+001	9.59593104257878e-004,2.70240862181978e-002
9.57260184645279e+001	1.05207660634249e-003,2.82946776856681e-002
1.00237446725455e+002	1.15346329148762e-003,2.96247043270980e-002
1.04961492049955e+002	1.26460819386699e-003,3.10169013335417e-002
1.09908174771525e+002	1.38644804732251e-003,3.24741230813028e-002
1.15087987467432e+002	1.52000900800235e-003,3.39993473200486e-002
1.20511917214872e+002	1.66641509000403e-003,3.55956793494884e-002
1.26191468896039e+002	1.82689737639677e-003,3.72663561538830e-002
1.32138689601520e+002	2.00280407273960e-003,3.90147504579205e-002
1.38366194183788e+002	2.19561147516042e-003,4.08443746609025e-002
1.44887192014998e+002	2.40693593018755e-003,4.27588845986307e-002
1.51715515005837e+002	2.63854686878936e-003,4.47620830737215e-002
1.58865646944857e+002	2.89238100242268e-003,4.68579230851776e-002
1.66352754220535e+002	3.17055777424528e-003,4.90505106767456e-002
1.74192717991217e+002	3.47539616391509e-003,5.13441073107124e-002
